epoch,train_loss,val_loss,embedding,split,seed,fraction,subset_strategy,subset_fraction
0,0.7111075361569722,0.689398467540741,catELMo,random,45,1.0,cluster-random,0.01
1,0.6328746596972148,0.685368537902832,catELMo,random,45,1.0,cluster-random,0.01
2,0.6008041501045227,0.6796433925628662,catELMo,random,45,1.0,cluster-random,0.01
3,0.5764036854108174,0.6732767224311829,catELMo,random,45,1.0,cluster-random,0.01
4,0.5531384468078613,0.6659822463989258,catELMo,random,45,1.0,cluster-random,0.01
5,0.5447247505187989,0.6586852073669434,catELMo,random,45,1.0,cluster-random,0.01
6,0.5292654474576314,0.6511598229408264,catELMo,random,45,1.0,cluster-random,0.01
7,0.506969169775645,0.6456482410430908,catELMo,random,45,1.0,cluster-random,0.01
8,0.5004907369613647,0.6410267353057861,catELMo,random,45,1.0,cluster-random,0.01
9,0.4874281724294027,0.6382996439933777,catELMo,random,45,1.0,cluster-random,0.01
10,0.4764706134796143,0.6338245868682861,catELMo,random,45,1.0,cluster-random,0.01
11,0.4687485694885254,0.6291590332984924,catELMo,random,45,1.0,cluster-random,0.01
12,0.457925142844518,0.6254166960716248,catELMo,random,45,1.0,cluster-random,0.01
13,0.4480714241663615,0.6234747767448425,catELMo,random,45,1.0,cluster-random,0.01
14,0.4344576398531596,0.6226569414138794,catELMo,random,45,1.0,cluster-random,0.01
15,0.42754008769989016,0.6198399066925049,catELMo,random,45,1.0,cluster-random,0.01
16,0.41783359249432883,0.6214773058891296,catELMo,random,45,1.0,cluster-random,0.01
17,0.41624176502227783,0.6218298673629761,catELMo,random,45,1.0,cluster-random,0.01
18,0.40355828404426575,0.6147094368934631,catELMo,random,45,1.0,cluster-random,0.01
19,0.3965878983338674,0.6063992381095886,catELMo,random,45,1.0,cluster-random,0.01
20,0.39182480772336326,0.5884736180305481,catELMo,random,45,1.0,cluster-random,0.01
21,0.3799817899862925,0.5840573906898499,catELMo,random,45,1.0,cluster-random,0.01
22,0.36233981847763064,0.580501914024353,catELMo,random,45,1.0,cluster-random,0.01
23,0.3620080431302389,0.5880852341651917,catELMo,random,45,1.0,cluster-random,0.01
24,0.3477895617485046,0.6020845174789429,catELMo,random,45,1.0,cluster-random,0.01
25,0.33888450463612874,0.6116095781326294,catELMo,random,45,1.0,cluster-random,0.01
26,0.3331426421801249,0.6182485222816467,catELMo,random,45,1.0,cluster-random,0.01
27,0.32503829995791117,0.6151663064956665,catELMo,random,45,1.0,cluster-random,0.01
28,0.3158307174841563,0.6150076389312744,catELMo,random,45,1.0,cluster-random,0.01
29,0.312253874540329,0.619520366191864,catELMo,random,45,1.0,cluster-random,0.01
30,0.30427903731664024,0.6386533975601196,catELMo,random,45,1.0,cluster-random,0.01
31,0.2957107643286387,0.6325991153717041,catELMo,random,45,1.0,cluster-random,0.01
32,0.2832900047302246,0.6367724537849426,catELMo,random,45,1.0,cluster-random,0.01
33,0.2847334802150726,0.6426665186882019,catELMo,random,45,1.0,cluster-random,0.01
34,0.27052927811940514,0.6426616907119751,catELMo,random,45,1.0,cluster-random,0.01
35,0.2693157354990641,0.6377710103988647,catELMo,random,45,1.0,cluster-random,0.01
36,0.26260989904403687,0.6388133764266968,catELMo,random,45,1.0,cluster-random,0.01
37,0.2494034041961034,0.6446813344955444,catELMo,random,45,1.0,cluster-random,0.01
38,0.24990110794703166,0.65525221824646,catELMo,random,45,1.0,cluster-random,0.01
39,0.2314010292291641,0.6721123456954956,catELMo,random,45,1.0,cluster-random,0.01
40,0.23460047841072082,0.6752150654792786,catELMo,random,45,1.0,cluster-random,0.01
41,0.2220563511053721,0.6907254457473755,catELMo,random,45,1.0,cluster-random,0.01
42,0.22983032663663228,0.6848359704017639,catELMo,random,45,1.0,cluster-random,0.01
43,0.2135239362716675,0.6924954056739807,catELMo,random,45,1.0,cluster-random,0.01
44,0.21329229672749836,0.7024450302124023,catELMo,random,45,1.0,cluster-random,0.01
45,0.19921563565731049,0.7089954018592834,catELMo,random,45,1.0,cluster-random,0.01
46,0.20112662017345428,0.7170900702476501,catELMo,random,45,1.0,cluster-random,0.01
47,0.19531531830628712,0.7489857077598572,catELMo,random,45,1.0,cluster-random,0.01
48,0.18806075652440388,0.7440217733383179,catELMo,random,45,1.0,cluster-random,0.01
49,0.1853919784228007,0.7542813420295715,catELMo,random,45,1.0,cluster-random,0.01
50,0.17643339633941652,0.7528370022773743,catELMo,random,45,1.0,cluster-random,0.01
51,0.18217507104078928,0.7735358476638794,catELMo,random,45,1.0,cluster-random,0.01
52,0.1767241835594177,0.7729786038398743,catELMo,random,45,1.0,cluster-random,0.01
